Titulo,Fecha_Envio,Fecha_Revision,Resumen,Nombre_Topico,Autores,Revisores,Valoraciones,Comentarios
Ducimus perferendis ipsa quaerat laudantium praesentium quis.,2023-10-08,2023-12-07,Hic architecto numquam quas explicabo at quae accusantium. Suscipit adipisci beatae esse modi ducimus.,Realidad Aumentada|Sistemas Distribuidos|Metodos Numericos,"9000254-7|Geronimo Armendariz|merinocatalina@example.net, 9000220-3|Beatriz Gollum Terrazas|juliarendon@example.com, 9000086-2|Emilia Tania Jaime Santiago|dheredia@example.org","9000176-5|Lic. Jos Bueno|pcaraballo@example.com, 9000191-2|Estefania Ortega Zamudio|aguilaremilia@example.com, 9000033-5|Fernando Cisneros|arteagagregorio@example.com",84|76|77,Provident deleniti earum consequuntur reprehenderit earum.|Ex dignissimos beatae ipsa nemo sed nam sint beatae impedit id.|In tempore incidunt harum nam quas esse.
Dignissimos a fugiat tenetur aperiam.,2024-01-08,2024-02-04,"Aut hic neque a placeat enim.
Ad eveniet omnis laudantium error neque impedit. Maiores nesciunt eos blanditiis. Et accusantium non.",Testing de Software|Robotica,"9000233-3|Sonia Velasquez|juan-carlossaldana@example.com, 9000265-3|Cristian Gallegos|pedrozalorenzo@example.com, 9000294-0|Samuel Ybarra|octavioolivares@example.com","9000139-9|Leonel Mauro Sotelo Partida|evelasco@example.org, 9000169-2|Marisela Salvador Polanco de la Cruz|cmontoya@example.org, 9000122-5|Liliana Emilia Partida|tbanuelos@example.org",17|17|52,Qui veritatis sed esse voluptatum cupiditate excepturi sit dicta.|Aliquid autem blanditiis eveniet culpa eveniet magni ipsa delectus ipsum.|Mollitia debitis aliquam assumenda ipsum minus accusantium dolores ducimus vitae rem modi.
Ab quis iusto saepe inventore reiciendis sed.,2024-06-27,2024-07-17,Debitis voluptatibus dolore vero. Vero quisquam optio facilis sunt aliquid.,Visualizacion de Datos|Ingenieria del Conocimiento|Testing de Software,"9000171-2|Soledad Beatriz Arenas|marcos09@example.com, 9000266-3|Alejandra Silvia Corral|carmenrojas@example.net, 9000247-1|Aurora Gustavo Mena|mdel-rio@example.org","9000125-8|Elvira Salma Chavarria|amelia75@example.net, 9000208-5|Lic. Cristian Curiel|sofiade-jesus@example.net, 9000013-0|Marisol Eugenia Tejeda Griego|mariano35@example.net",79|91|37,Voluptas necessitatibus tenetur aliquam quidem soluta omnis vitae delectus quod.|Fugiat maxime quod aperiam totam deserunt itaque perspiciatis.|Consectetur magni neque maiores nulla dolorem.
Eligendi temporibus qui quibusdam quas nemo quidem.,2023-11-12,2023-12-28,Sunt sapiente consectetur autem temporibus eveniet hic. Totam sequi dolore. Perspiciatis quibusdam sunt perspiciatis sunt corporis facilis.,Vision Computacional|Data Warehousing|Machine Learning,"9000254-7|Geronimo Armendariz|merinocatalina@example.net, 9000134-6|Ivonne Sofia Otero Blanco|zeferino86@example.com, 9000057-9|Gustavo Agustin Ortiz Laureano|vallesamador@example.net","9000167-9|Ernesto Lira|hfeliciano@example.org, 9000009-8|Ing. Yolanda Moreno|osorioalma@example.com, 9000040-6|Cynthia Irene Garza|norma41@example.com",71|61|74,Iure tempore optio sit est beatae vitae iste neque repudiandae.|Consequatur odit unde eligendi doloremque quisquam rerum voluptatibus autem hic vel.|Dolorum neque ullam distinctio nostrum eveniet occaecati quae necessitatibus.
Iure non quos.,2024-09-28,2024-11-11,"Atque ullam odio deserunt omnis odit. Laudantium modi harum. Corrupti deserunt quae eum.
Temporibus illum nesciunt excepturi veritatis.",Aprendizaje Profundo|Sistemas Recomendadores|Blockchain,"9000049-1|Mtro. Timoteo Pineda|maria-eugenia43@example.com, 9000152-1|Pablo Trevino|micaelagaona@example.com, 9000274-3|Rosario Rebeca Lomeli Quinones|rochahernan@example.net","9000196-2|Raul Emiliano Barrientos|rodrigogalvez@example.org, 9000289-3|Abraham Francisca Olivera|mariselajaramillo@example.com, 9000149-4|Citlali Florencia Longoria|carla07@example.net",3|48|18,Deleniti voluptas doloribus laboriosam asperiores incidunt.|Ex alias doloribus explicabo fuga possimus voluptates aliquam voluptatem alias illum iusto asperiore|Voluptate eaque ut facere earum iusto hic quisquam autem natus unde.
At odio labore quasi quos sapiente eveniet ipsa.,2024-07-21,2024-07-25,Temporibus cumque corrupti voluptatem. Omnis odio facilis eos in. Dolorum a ducimus fuga repellat excepturi.,Aprendizaje Profundo,9000174-0|Nicolas Mercedes Griego Laureano|tbernal@example.com,"9000189-1|Maria del Carmen Vazquez Escobedo|salma78@example.org, 9000278-1|Mtro. Armando Pineda|posadasalvador@example.org, 9000154-6|Guillermo Luis Miguel Abreu|fabiola96@example.org",18|7|88,Ea reprehenderit alias maxime possimus repudiandae.|Natus quam voluptatem rerum veniam incidunt ut accusantium veniam delectus aperiam.|Fugiat excepturi ad aut quo alias officia totam ad quam vero.
Cupiditate animi nesciunt dignissimos.,2023-11-15,2023-12-20,Alias ipsa labore cum beatae delectus asperiores officiis. Quidem repellendus nihil odio saepe.,Sistemas Operativos|Analisis Forense Digital,9000046-0|Dr. Martin Salas|falfaro@example.com,"9000122-5|Liliana Emilia Partida|tbanuelos@example.org, 9000191-2|Estefania Ortega Zamudio|aguilaremilia@example.com, 9000029-4|Ricardo Antonia Armenta|smontanez@example.org",28|95|82,Iste amet enim nam laudantium molestiae suscipit ratione.|Ut aperiam deserunt culpa optio rerum quibusdam ad aspernatur voluptatum in nemo amet.|Ea provident facilis neque consequatur sunt laudantium accusamus necessitatibus.
Officia suscipit veritatis.,2023-06-06,2023-07-27,Possimus ducimus repellendus exercitationem. Itaque iste iure dolorum libero temporibus. Accusamus a possimus non impedit.,Robotica|Bioinformatica|Testing de Software,"9000152-1|Pablo Trevino|micaelagaona@example.com, 9000295-6|Claudio Jaimes|fernandovalentin@example.net, 9000211-7|Mtro. Carmen Salas|alcalarenato@example.com","9000033-5|Fernando Cisneros|arteagagregorio@example.com, 9000282-0|Lic. Paulina Lemus|cazaresbeatriz@example.com, 9000002-0|Mtro. Leonel Martinez|felix10@example.net",70|6|1,Ducimus ipsa a deserunt laudantium officia velit alias harum quaerat.|Maiores recusandae asperiores saepe odit fugiat voluptatum voluptas neque facilis aperiam iure.|Deleniti commodi cupiditate quis ea nam facere voluptatem perferendis earum saepe recusandae.
Nemo assumenda nulla perspiciatis.,2024-01-07,2024-03-03,Minima a praesentium. A maiores quam id sit aut cupiditate. Iusto aut veniam iusto eligendi eligendi dolore.,Ingenieria de Software|Algoritmos|Interaccion Humano Computador,"9000221-9|Sofia Humberto Castellanos Macias|yeni65@example.com, 9000280-K|Carla Elisa Mata|tellodulce-maria@example.org","9000293-6|Ing. Eloy Vega|danielmenchaca@example.net, 9000108-6|Benito Natividad Tirado Soto|miramontesserafin@example.org, 9000070-K|Jacinto Mercedes Espinosa|citlalicorrea@example.org",37|57|22,Natus cum quis occaecati provident nulla adipisci accusamus perferendis.|Temporibus iusto temporibus ratione labore officiis perferendis omnis similique ex dolorem nobis eum|Quibusdam ducimus quis expedita fugit perspiciatis nulla quia pariatur cumque eligendi.
Eligendi expedita quaerat ipsam aliquam recusandae.,2023-05-02,2023-06-04,Tempore voluptatum dolores vel. Quisquam sit ratione recusandae hic nemo quos non. Modi quia tempore quisquam a minus.,Analisis de Sistemas|Computacion en la Nube|Ingenieria del Conocimiento,9000092-3|Diego Hermelinda Alcaraz Tejeda|gerardoarmenta@example.org,"9000217-0|Sandra Concepcion Barraza Castro|sofia98@example.net, 9000269-2|Conchita Zelaya|itzelmatos@example.org, 9000283-1|Gonzalo Jonas Arreola|georgina15@example.com",71|33|16,Nulla nam distinctio ea quisquam et voluptate qui autem temporibus at vitae tenetur.|Fuga possimus architecto modi illum incidunt maiores mollitia voluptatum eum dolore cumque.|Explicabo nemo blanditiis pariatur amet omnis quam dicta eius.
Ab quis suscipit corporis similique eaque expedita.,2025-04-11,2025-06-05,Ab sed eos repudiandae. Maxime sunt laborum recusandae sint quaerat consequuntur. Sequi rem iusto placeat.,Sistemas Distribuidos,"9000223-0|Sr(a). Rosa Pichardo|anguianoaurelio@example.org, 9000128-0|Hermelinda Zapata Casarez|montenegrooscar@example.com","9000161-8|Minerva Ilse Rosado|rafael44@example.org, 9000218-9|Horacio Riojas Razo|baezjose-carlos@example.com, 9000217-0|Sandra Concepcion Barraza Castro|sofia98@example.net",19|41|76,Ex eius maiores sunt quis vitae doloremque a ullam unde consequatur vel.|Impedit tempora a eveniet nobis delectus iste optio.|Voluptates neque dolorum tempore maiores ad.
Saepe sapiente minus ratione.,2024-04-25,2024-06-24,"Provident ipsum unde dolores.
Saepe vero debitis suscipit officiis.",Analisis de Vulnerabilidades,"9000194-7|Maria Teresa Dulce Arteaga|juan53@example.com, 9000239-2|Alvaro Matias|yolivarez@example.net, 9000179-1|Mtro. Santiago Garcia|riverahermelinda@example.net","9000160-2|Camilo Florez|gbustos@example.com, 9000072-2|Teresa Pedro Laureano|socorromadrigal@example.net, 9000091-8|Camila German Vela Gastelum|xvalentin@example.net",100|90|40,Quis aliquid hic aspernatur possimus error numquam magni maiores fugiat explicabo eveniet.|Aspernatur ut cumque sequi perspiciatis debitis consequuntur vel totam.|Provident fugit nesciunt tenetur et veritatis earum nihil quaerat minima est modi.
Voluptatibus sapiente voluptatibus ipsum.,2024-04-05,2024-04-10,Culpa doloribus pariatur saepe cumque nulla.,Ciberseguridad|Computacion en la Nube|Programacion Paralela,"9000021-8|Sr(a). Antonia Terrazas|natividadjaimes@example.org, 9000073-5|Angelica Gonzalez|socorro93@example.com, 9000058-3|Gonzalo Godinez|estefania39@example.com","9000244-7|Paulina Rodriguez|fernandoybarra@example.org, 9000137-6|Amador Lerma Saldana|ilira@example.org, 9000032-6|Sr(a). Zeferino Bonilla|margarita67@example.net",44|28|27,Voluptatem quam corrupti magni totam ipsum dolorem eaque voluptas vero.|Illum pariatur dolorem dolore odit expedita.|Laboriosam exercitationem incidunt deserunt officiis similique sed iste officia quisquam.
Ducimus distinctio minus provident.,2025-02-03,2025-02-17,Aperiam commodi iure quia pariatur. Cumque exercitationem unde ipsum. Est cum ducimus.,DevOps|Procesamiento de Lenguaje Natural|Computacion Grafica,"9000102-3|Graciela Trevino|antoniaquintanilla@example.com, 9000074-5|Rufino Nancy Chacon|leallinda@example.com, 9000255-0|Camila Mayte Benitez Cisneros|zoeosorio@example.net","9000256-K|Maria Elena Bustos Galindo|arteagaisabela@example.org, 9000009-8|Ing. Yolanda Moreno|osorioalma@example.com, 9000213-3|Tomas Antonia Rascon Robledo|carolina89@example.org",57|30|82,Facere nesciunt odit sint id officia.|Minus sapiente voluptates exercitationem non error vitae maiores.|Quia inventore quia dignissimos quae numquam architecto porro eligendi.
Ex modi ullam ipsa ab sed tempora dolores.,2024-08-06,2024-09-19,Explicabo mollitia amet tempora molestias. Alias perferendis veniam facilis.,Interaccion Humano Computador|Bioinformatica|Inteligencia Artificial,"9000211-7|Mtro. Carmen Salas|alcalarenato@example.com, 9000275-1|Bianca Felix Espinosa Espinal|bcintron@example.org","9000238-8|Ing. Bernabe Matos|marthacasillas@example.com, 9000241-9|Ofelia Muro Barreto|orellanamariano@example.org, 9000025-6|Lic. Oliver Najera|vallebruno@example.org",92|36|3,Iure totam pariatur eos vero excepturi exercitationem necessitatibus voluptate ad.|Eveniet officiis porro harum natus occaecati ipsam error facilis suscipit.|Tempore nam numquam velit porro consectetur sequi tempore corporis.
Velit tempora quo officia.,2024-10-24,2024-12-15,Quod asperiores officiis atque. Nostrum quae at rerum. Laudantium quae eum animi dignissimos ratione.,Analisis de Vulnerabilidades|Procesamiento de Lenguaje Natural|Testing de Software,"9000229-0|Graciela Pacheco|renteriaaugusto@example.com, 9000124-2|Ines Esparza|reinaolivera@example.org, 9000145-K|Andres Eric Valverde Mascarenas|vanesasanabria@example.com","9000169-2|Marisela Salvador Polanco de la Cruz|cmontoya@example.org, 9000070-K|Jacinto Mercedes Espinosa|citlalicorrea@example.org, 9000167-9|Ernesto Lira|hfeliciano@example.org",65|10|12,Ratione qui eligendi voluptatibus ab praesentium nesciunt.|Doloremque officia recusandae ad dolorum debitis quaerat reprehenderit temporibus facere rerum.|Explicabo nemo nesciunt aperiam ad unde laboriosam totam.
Consequatur tenetur dolores culpa.,2024-08-04,2024-09-08,Ab mollitia nisi veritatis quos dignissimos. Qui quas doloremque reiciendis quae.,Analisis de Vulnerabilidades,"9000223-0|Sr(a). Rosa Pichardo|anguianoaurelio@example.org, 9000119-6|Camila Teran Jaramillo|bruno46@example.org, 9000118-9|Jeronimo Tomas Saucedo Pabon|alicia14@example.org","9000064-1|Lic. Maria Teresa Lerma|hsandoval@example.com, 9000037-5|Sr(a). Amalia Arellano|isabelarojo@example.net, 9000191-2|Estefania Ortega Zamudio|aguilaremilia@example.com",26|68|89,Sunt provident magnam voluptatibus aliquam enim similique.|Alias nulla veritatis amet molestias minus architecto fugit impedit repellat culpa blanditiis nemo.|Sit alias culpa perferendis deleniti hic natus repellendus dignissimos ipsam corrupti quis sunt.
Id amet error unde sunt voluptatibus tenetur assumenda.,2024-11-19,2025-01-11,"Temporibus at beatae magni quis enim eum. Beatae quam quos.
Earum reiciendis nihil inventore vero.",Analisis de Vulnerabilidades|Realidad Aumentada|Redes Neuronales,9000168-3|Leonardo Cesar Macias Reyna|antonia07@example.net,"9000105-3|Mtro. Adriana Delgado|amelia26@example.net, 9000104-5|Maria Luisa Oscar Monroy|zoe49@example.com, 9000156-7|Paulina Torres Lopez|cristina25@example.net",4|11|9,Blanditiis ad deserunt libero odit quas at voluptas.|Et suscipit quidem voluptate voluptas veritatis.|Nostrum similique dignissimos incidunt sit ad exercitationem non illo nisi saepe id placeat.
Similique consequatur quisquam dolor itaque.,2023-12-30,2024-02-19,"Autem perspiciatis minima ab ad libero totam.
Nam dicta delectus. Dolor adipisci quibusdam excepturi modi.",Computacion en la Nube,"9000117-4|Mtro. Olga Sanchez|daniel47@example.com, 9000263-1|Timoteo Natividad Farias Corral|cynthia88@example.org","9000079-K|Dr. Esparta Acosta|lugomarisol@example.net, 9000162-1|Ana Ortiz|eugenio61@example.com, 9000069-7|Jose Luis Hernandes|munguiaangel@example.com",52|49|57,Explicabo voluptatum beatae nulla beatae nemo in ad dolor.|Maxime cumque quibusdam incidunt molestiae tenetur molestias laudantium id.|Sapiente deserunt veritatis minus adipisci possimus illum ipsa maxime impedit tempore earum inventor
Velit eaque hic laudantium at aliquam dolorem.,2024-12-09,2024-12-11,Exercitationem cumque ipsam id commodi facere. A aut quibusdam earum reiciendis. Ipsa molestias provident quae praesentium tempora.,Sistemas Embebidos|Realidad Aumentada|IoT,"9000291-0|Maria Teresa Felix Benitez Quintero|arteagauriel@example.net, 9000049-1|Mtro. Timoteo Pineda|maria-eugenia43@example.com","9000166-8|Berta Jose Carlos Tovar Munoz|oterogeronimo@example.org, 9000063-4|Amelia Loera|jesus19@example.net, 9000284-3|Geronimo Elena Carreon|pereasessa@example.org",5|89|9,Exercitationem quae earum voluptas tenetur cupiditate id voluptas fugit quidem.|Libero at eaque ad enim reiciendis earum placeat.|Voluptatibus sed explicabo illum incidunt ab voluptatibus sed at.
Officia consequuntur libero corrupti dolore minima.,2024-07-31,2024-08-19,Illum possimus ea tempora quo. Dolores repellendus occaecati.,Testing de Software|Desarrollo Web,"9000194-7|Maria Teresa Dulce Arteaga|juan53@example.com, 9000285-2|Eric Tirado|hugoozuna@example.net, 9000232-8|Rene Olivares Romero|morahector@example.com","9000067-6|Sonia Aldonza Zambrano Rojo|vanesa99@example.org, 9000089-4|Humberto Indira Montano|wcedillo@example.com, 9000129-1|Noelia Robles|fmanzanares@example.org",84|3|60,Incidunt eveniet consequuntur assumenda quia possimus sapiente praesentium explicabo ipsa.|Exercitationem magnam voluptas beatae vitae quia voluptatum ut sint officiis ipsum earum.|Neque quos possimus eum delectus est blanditiis illum distinctio dolorem cum.
Tenetur maiores laborum at veritatis.,2024-04-28,2024-05-13,"At accusamus nam.
Placeat numquam odio excepturi. Veritatis qui dolores sequi soluta quod.",Teoria de la Computacion,9000197-4|Cornelio Cordova Valladares|arturo31@example.net,"9000293-6|Ing. Eloy Vega|danielmenchaca@example.net, 9000169-2|Marisela Salvador Polanco de la Cruz|cmontoya@example.org, 9000143-8|Salvador Cristian Benitez|soledadsalcido@example.com",38|86|93,Voluptatibus commodi dignissimos ullam impedit eveniet earum itaque quae atque assumenda maxime cons|Saepe sint vero vero perferendis maxime.|Eius ut vel laborum nemo blanditiis impedit asperiores ut ducimus fugit officiis voluptas.
Sequi dolores quis itaque reiciendis cupiditate quisquam sit.,2025-01-14,2025-03-11,Assumenda officiis quo repudiandae. Voluptas quidem illo nemo nesciunt nostrum pariatur.,Procesamiento de Lenguaje Natural|Bases de Datos|Analisis de Algoritmos,"9000200-6|Angela Rosario Barreto|karinacasares@example.net, 9000159-8|Aurelio Granado de la Cruz|eruelas@example.org, 9000252-6|Dr. Irma Badillo|alonsomata@example.com","9000166-8|Berta Jose Carlos Tovar Munoz|oterogeronimo@example.org, 9000097-0|Virginia Tirado Cepeda|caridad28@example.com, 9000262-5|Lic. Felix Crespo|reynaldo53@example.org",68|70|10,Deleniti voluptatibus iusto rerum quibusdam sapiente.|Ipsum repellat laborum quod minus maiores.|Ullam provident ipsa rem neque cum libero saepe quibusdam alias vitae.
Doloremque magnam nisi perferendis porro laudantium esse.,2023-10-04,2023-11-21,Ut debitis illum animi labore enim. Repellat hic ipsam incidunt hic. At nisi cum aut voluptatum.,Sistemas Operativos|Ingenieria del Conocimiento,"9000114-3|Federico Rivera|bmiramontes@example.com, 9000043-5|Mtro. Alfonso Cardona|umontano@example.com, 9000024-8|Lic. Guillermo Apodaca|gracielaleyva@example.net","9000041-1|Dr. Delia Palomino|userrato@example.org, 9000143-8|Salvador Cristian Benitez|soledadsalcido@example.com, 9000189-1|Maria del Carmen Vazquez Escobedo|salma78@example.org",23|28|78,Dolor sapiente harum veritatis ducimus cupiditate.|Veritatis dolore ab tenetur quis voluptatum itaque quod ducimus quis.|Dolorem assumenda maiores corporis corrupti iure quia facilis commodi provident.
Laboriosam odio nisi ad quam.,2024-08-30,2024-09-11,Aut doloremque dolorem iusto quisquam. Ab possimus est. Dolorum tempore dignissimos ipsum eaque. Doloremque quis placeat odio modi.,Algoritmos|Gestion de Proyectos,"9000292-2|Rocio Juana Nieto Cardenas|marianaalvarado@example.net, 9000075-3|Rocio Luis Miguel Vergara Ozuna|estefania28@example.com, 9000171-2|Soledad Beatriz Arenas|marcos09@example.com","9000133-K|Fernando German Valdez|espartaco44@example.net, 9000160-2|Camilo Florez|gbustos@example.com, 9000091-8|Camila German Vela Gastelum|xvalentin@example.net",37|85|8,Harum fuga provident esse quas porro atque laudantium possimus recusandae iure pariatur ipsa adipisc|Quae occaecati ipsum officia voluptatibus nobis minima facilis.|Ea vitae minima nam odio nemo dolore itaque.
Iusto totam perferendis similique perspiciatis aspernatur fuga dolores.,2023-12-20,2024-02-05,Magni quidem repudiandae in exercitationem facilis aspernatur placeat. Consectetur accusamus ipsa.,Desarrollo Web|Algoritmos,"9000124-2|Ines Esparza|reinaolivera@example.org, 9000128-0|Hermelinda Zapata Casarez|montenegrooscar@example.com, 9000046-0|Dr. Martin Salas|falfaro@example.com","9000176-5|Lic. Jos Bueno|pcaraballo@example.com, 9000052-8|Clara Rodarte|fadame@example.org, 9000258-K|Blanca Limon|qsoto@example.com",36|79|8,Necessitatibus id tenetur ipsam dignissimos perspiciatis impedit nisi ducimus excepturi.|Enim dicta natus eum quia impedit ipsa optio facilis asperiores animi laudantium adipisci.|Qui at optio qui velit velit fugit.
Dolore quia cumque quasi omnis itaque.,2023-06-21,2023-07-23,"Veniam dignissimos ullam iste. Distinctio voluptatem incidunt hic reiciendis neque alias.
Molestias inventore quam quas quibusdam.",IoT,"9000128-0|Hermelinda Zapata Casarez|montenegrooscar@example.com, 9000259-1|Ivan Juan Ledesma Perez|ariadna70@example.net","9000284-3|Geronimo Elena Carreon|pereasessa@example.org, 9000218-9|Horacio Riojas Razo|baezjose-carlos@example.com, 9000111-2|Sr(a). Angela Rodriquez|llamaslucas@example.org",72|46|40,Voluptatibus recusandae ratione nulla ad dicta atque impedit totam quo omnis facilis.|Autem eligendi quibusdam repellendus quaerat in vero saepe ducimus laudantium distinctio vero dolore|Quisquam sunt quia ratione velit eveniet magnam nemo omnis harum exercitationem.
Mollitia ipsam reiciendis esse.,2025-02-19,2025-03-12,At minus quidem magnam voluptate earum. Explicabo non illo eum dolor. Hic quia animi.,Mineria de Datos|Bases de Datos,9000184-3|Alvaro Marco Antonio Abreu Solis|joseprado@example.org,"9000153-4|Mtro. Martin Alfaro|isabel16@example.net, 9000027-7|Horacio Noelia Otero Torrez|chernandes@example.net, 9000094-5|Sr(a). Nadia de la Garza|davidzedillo@example.com",17|86|93,Facere minus nisi debitis beatae reprehenderit placeat harum.|Magnam aperiam maxime aliquid ex est numquam fugit a.|Nesciunt animi labore ea eius inventore totam commodi qui.
Incidunt delectus blanditiis excepturi.,2024-11-27,2024-12-26,Repellendus illo est expedita ratione quae quae. Odit temporibus aliquid ratione.,Metodos Numericos|Compiladores,"9000259-1|Ivan Juan Ledesma Perez|ariadna70@example.net, 9000124-2|Ines Esparza|reinaolivera@example.org","9000031-2|Maria Elena Centeno Serna|kreyes@example.org, 9000149-4|Citlali Florencia Longoria|carla07@example.net, 9000163-K|Lucas Mireles|mesaandres@example.com",82|77|10,Cumque excepturi sequi deserunt maxime autem.|Architecto sequi repellat sequi atque molestiae.|Nam harum totam repellat nisi non quo blanditiis totam numquam.
Alias explicabo blanditiis atque repellat repellat.,2023-05-14,2023-05-27,Illum ipsa magnam recusandae laudantium laboriosam modi. Nostrum corporis sed provident quibusdam.,Machine Learning|Teoria de la Computacion,"9000098-5|Mtro. Minerva Almaraz|naranjohomero@example.org, 9000198-8|Cristal Esmeralda Miramontes Canales|olivaresbeatriz@example.com","9000035-2|Natalia Mayte Laboy|brunomenendez@example.org, 9000045-4|Andrea Rolon Rangel|nelly91@example.com, 9000249-K|Lic. Oscar Ojeda|fernandorincon@example.com",74|51|98,Velit repudiandae labore perspiciatis vel iusto.|Minima expedita culpa ipsum molestiae harum autem porro tempore voluptatem.|Ratione qui quam officiis totam voluptatum nihil rerum velit inventore laudantium.
Cumque blanditiis inventore rerum.,2025-01-27,2025-02-13,Aspernatur commodi quas sint quae quod soluta. Sapiente unde deserunt delectus facere soluta magni libero.,Sistemas Operativos|Inteligencia Artificial|Analisis de Algoritmos,"9000057-9|Gustavo Agustin Ortiz Laureano|vallesamador@example.net, 9000123-3|Linda Maximiliano Rodriquez Guerrero|jurena@example.com, 9000083-2|Ing. Ignacio Ibarra|yolandamartinez@example.org","9000062-3|Sr(a). Alicia Bonilla|velazquezgabino@example.net, 9000262-5|Lic. Felix Crespo|reynaldo53@example.org, 9000222-3|Dr. Marco Antonio Bustos|maria-del-carmenmontes@example.org",98|75|93,Sunt provident odio necessitatibus illo molestias.|Facere exercitationem at consequuntur aliquid dolor in maxime illo.|Quod velit suscipit quisquam ducimus quia rem saepe soluta.
Porro libero aut alias.,2025-04-09,2025-05-12,Earum natus ea necessitatibus explicabo. Accusamus perspiciatis sed ex tenetur magnam. Repudiandae possimus itaque excepturi inventore nam.,Machine Learning|Compiladores,"9000188-7|Marcela Noemi Razo Casarez|espartacobarela@example.com, 9000294-0|Samuel Ybarra|octavioolivares@example.com, 9000261-6|Paulina Menendez|maria-elena44@example.com","9000034-4|Sr(a). Israel Linares|htorrez@example.com, 9000256-K|Maria Elena Bustos Galindo|arteagaisabela@example.org, 9000087-7|Esmeralda Conchita Ulibarri Suarez|xcarranza@example.com",78|87|21,Libero minima occaecati commodi voluptatibus perferendis fugiat maxime nesciunt.|Consequatur quos placeat consectetur rem vero.|Commodi hic consequatur quaerat id ab deleniti.
Minima earum velit soluta nisi occaecati ratione impedit.,2024-08-10,2024-08-22,"Id fugiat saepe quia.
Culpa tempore reprehenderit. Veritatis dignissimos quaerat corporis corporis debitis dicta.",Machine Learning|Realidad Virtual|Mineria de Datos,"9000056-5|Aurora Leonardo Alcaraz Jaime|renteriajose-carlos@example.net, 9000212-1|Ricardo Rosario Arenas|pereavictor@example.net, 9000195-8|Pablo Roybal|isabela88@example.com","9000072-2|Teresa Pedro Laureano|socorromadrigal@example.net, 9000217-0|Sandra Concepcion Barraza Castro|sofia98@example.net, 9000251-5|Noemi Castellanos Linares|cruzgeorgina@example.com",97|62|29,Tenetur tempore ex quisquam deleniti blanditiis earum ullam accusantium nostrum.|Dolorem optio doloribus consectetur quaerat commodi non sunt ullam neque totam suscipit dolorem.|Recusandae eius praesentium reiciendis eligendi adipisci temporibus.
Maiores eaque tenetur similique perspiciatis odio soluta.,2024-06-14,2024-07-08,Exercitationem iure quo quidem ipsa dolor. Facere labore voluptas quod sit sint.,Ingenieria de Software,9000252-6|Dr. Irma Badillo|alonsomata@example.com,"9000023-K|Alvaro Partida|zoe37@example.net, 9000260-0|Yolanda Cadena|clararomero@example.com, 9000094-5|Sr(a). Nadia de la Garza|davidzedillo@example.com",49|60|58,Ex voluptates dolorum facilis mollitia minima.|Vitae culpa voluptates ipsam labore fugit fugiat aliquid consectetur molestias libero eum.|Ipsum quam consectetur numquam et asperiores sapiente dolor tenetur nam nobis aut.
Id atque omnis laboriosam.,2025-04-05,2025-05-17,Ducimus veritatis dolore odio. Accusamus harum eius enim.,Inteligencia Artificial,"9000115-8|Ernesto Tirado|reinavelazquez@example.com, 9000071-5|Lic. Silvano Guajardo|jvergara@example.org","9000027-7|Horacio Noelia Otero Torrez|chernandes@example.net, 9000039-1|Victor Soledad Cano|cecilia05@example.net, 9000249-K|Lic. Oscar Ojeda|fernandorincon@example.com",69|72|22,Cum inventore nostrum adipisci ad aliquid dignissimos odio dolorem error nobis.|Qui molestiae explicabo mollitia impedit architecto minus magni saepe labore.|Amet quae ut sunt blanditiis nemo corrupti non dolor ipsa ullam.
Consectetur temporibus nesciunt aliquid ullam dolor cum.,2024-06-11,2024-07-05,Sit eum nam ut ipsa. Ipsum placeat voluptatem quasi soluta.,Redes Neuronales|Robotica,"9000098-5|Mtro. Minerva Almaraz|naranjohomero@example.org, 9000245-6|Olga Lilia Valles|daviddel-rio@example.org, 9000165-K|Concepcion Vanesa Adame|pizarroestefania@example.org","9000225-K|Marcos Linda Roybal|vfigueroa@example.net, 9000222-3|Dr. Marco Antonio Bustos|maria-del-carmenmontes@example.org, 9000260-0|Yolanda Cadena|clararomero@example.com",51|45|44,Blanditiis voluptas ratione officia consectetur neque unde.|Impedit vero cumque nam ea ipsam incidunt provident dolor dignissimos sed temporibus.|Officia voluptatum inventore cumque quis tempore id vitae adipisci earum.
Voluptates atque dicta officiis eaque voluptatum.,2023-09-21,2023-09-22,Neque voluptatum at vitae omnis. Expedita culpa ea blanditiis sit quibusdam. Nam at quidem accusantium nam quas dolorem.,Metodos Numericos|Tecnologias Moviles,"9000012-6|Lic. Nadia Tamez|ana-luisasauceda@example.org, 9000177-7|German Duran|fsalazar@example.com, 9000088-6|Sara Ursula Tafoya Aguilera|wilfrido12@example.com","9000162-1|Ana Ortiz|eugenio61@example.com, 9000172-8|Ing. Aldonza Jaramillo|duenasgeorgina@example.net, 9000041-1|Dr. Delia Palomino|userrato@example.org",82|35|27,Deserunt porro excepturi libero laborum itaque maxime labore facilis distinctio ratione.|Asperiores rerum est laborum voluptatum asperiores exercitationem quo voluptatum ad molestias.|Reiciendis debitis ratione sequi deleniti non accusamus repellat sed beatae sint alias.
